Time,Res_percent
-7.2,0
-5.949446,0.002675735
-5.844829,0.005136639
-5.748965,0.007382711
-5.647928,0.008986499
-5.539166,0.009464488
-5.455288,0.00913976
-5.378817,0.008174401
-5.296045,0.00656841
-5.217334,0.004962972
-5.137848,0.003840491
-5.062456,0.003039427
-4.990815,0.002558679
-4.912667,0.002398246
-4.832189,0.002079027
-4.757944,0.001440588
-4.685104,0.000642265
-4.61338,-0.000315393
-4.540059,-0.001113169
-4.46551,-0.001432389
-4.389634,-0.001273052
-4.319138,-0.000953832
-4.247353,-0.00031594
-4.169825,2.18644E-06
-4.095811,0.000320859
-4.023597,0.000800512
-3.92772,0.001440047
-3.792795,0.001920245
-3.71502,0.002400991
-3.628397,0.002243841
-3.557541,0.00112793
-3.48156,-0.000625876
-3.404093,-0.00269781
-3.329369,-0.004451072
-3.257119,-0.005567529
-3.18442,-0.006045542
-3.113375,-0.006045542
-3.036896,-0.00556862
-2.967009,-0.005410371
-2.888698,-0.005251578
-2.818231,-0.004933993
-2.742831,-0.004616408
-2.672035,-0.004457615
-2.597728,-0.004298278
-2.533114,-0.004774659
-2.463502,-0.00588459
-2.394627,-0.007467665
-2.328921,-0.009682674
-2.262691,-0.012212034
-2.192065,-0.014579904
-2.12819,-0.016315303
-2.053234,-0.017420382
-1.975252,-0.017736347
-1.898273,-0.017421991
-1.821062,-0.016635566
-1.731312,-0.016006855
-1.612248,-0.015535321
-1.520375,-0.015063252
-1.445043,-0.014432396
-1.364189,-0.013801004
-1.296218,-0.013169612
-1.219024,-0.012222256
-1.142415,-0.011274361
-1.071177,-0.010003986
-1.004602,-0.00857428
-0.919112,-0.00682753
-0.850404,-0.005396745
-0.779556,-0.004124211
-0.703459,-0.004444533
-0.631344,-0.005556656
-0.563783,-0.007302868
-0.492402,-0.009049079
-0.406706,-0.011111256
-0.337064,-0.012219023
-0.266274,-0.012852033
-0.188539,-0.013639534
-0.120129,-0.015056823
-0.0502,-0.016315325
0.019885,-0.01788765
0.101882,-0.019773798
0.175121,-0.021188409
0.249639,-0.021973233
0.326786,-0.022757524
0.400294,-0.023384107
0.470787,-0.023852981
0.539094,-0.024321856
0.625746,-0.003646914
0.694839,0.096102246
