Time,Res_percent
-7,-0.002433976
-6.490794,0.09408744
-6.405068,0.188494093
-6.328788,0.282859735
-6.254545,0.356337672
-6.179026,0.408927904
-6.10861,0.441162944
-6.036537,0.458335098
-5.958333,0.463727586
-5.883413,0.473348443
-5.806904,0.478836261
-5.72859,0.476641688
-5.659844,0.456255046
-5.59321,0.408637638
-5.527066,0.341446481
-5.458025,0.27091021
-5.388807,0.203660771
-5.319403,0.146460823
-5.253228,0.105587781
-5.18474,0.078694378
-5.114053,0.057919722
-5.035467,0.04116286
-4.964415,0.027410508
-4.891208,0.015658117
-4.816514,0.005394503
-4.741393,-0.002898834
-4.667543,-0.010691775
-4.594346,-0.017501724
-4.523884,-0.023330794
-4.450086,-0.028667872
-4.376177,-0.034000799
-4.301205,-0.038360142
-4.229365,-0.042232696
-4.155462,-0.045619503
-4.085606,-0.048520563
-4.014587,-0.050935876
-3.939126,-0.053831779
-3.86991,-0.056726651
-3.797882,-0.059620496
-3.723901,-0.062513312
-3.650479,-0.065885697
-3.577816,-0.068774408
-3.509746,-0.07166209
-3.440207,-0.074068151
-3.369044,-0.076473187
-3.292905,-0.078395579
-3.217097,-0.079837374
-3.135558,-0.081757721
-3.062103,-0.08463824
-2.988132,-0.087517738
-2.912247,-0.089438084
-2.845965,-0.091838006
-2.774384,-0.093277755
-2.699067,-0.093757331
-2.627139,-0.093757331
-2.553786,-0.09519504
-2.483471,-0.096631731
-2.411065,-0.09854698
-2.341712,-0.100940786
-2.270297,-0.10381315
-2.198925,-0.10572738
-2.129575,-0.107640596
-2.063137,-0.109075254
-1.99325,-0.110031354
-1.92226,-0.110508897
-1.85289,-0.110986439
-1.784108,-0.110508897
-1.710246,-0.110508897
-1.641953,-0.110986439
-1.569969,-0.111941525
-1.495914,-0.113374153
-1.417898,-0.115761866
-1.344796,-0.117672036
-1.272854,-0.119104664
-1.202059,-0.12005975
-1.133218,-0.120537292
-1.054637,-0.121013823
-0.982242,-0.121490354
-0.912538,-0.122443416
-0.843196,-0.123396478
-0.772216,-0.12482607
-0.699549,-0.125302601
-0.628924,-0.126255663
-0.558394,-0.126255663
-0.485007,-0.126732194
-0.415807,-0.126732194
-0.345569,-0.127685256
-0.271966,-0.128161787
-0.197255,-0.12959138
-0.124348,-0.130544441
-0.052912,-0.131973026
0.023205,-0.132925079
0.091115,-0.133877132
0.162542,-0.12462606
0.234609,-0.091829475
0.308686,-0.02594765
0.380347,0.074264504
0.452222,0.204976792
0.521723,0.34511302
0.590089,0.467035348
0.660295,0.55147883
0.732604,0.593458032
0.805618,0.600100795
0.879671,0.583848371
0.953937,0.558519679
1.025721,0.535397358
1.094731,0.518285931
1.170175,0.504420297
1.23965,0.499124752
1.313357,0.504029657
1.380854,0.513725137
1.453357,0.519286733
1.521755,0.515092735
1.591884,0.486837855
1.661809,0.429273933
1.734417,0.350599809
1.809672,0.267130939
1.880806,0.188555706
1.953397,0.12427932
2.023619,0.079419174
2.093913,0.050604906
2.165633,0.030403112
2.238389,0.014219791
2.312338,0.001998435
2.385979,0.006247528
2.460079,0.03642311
2.531704,0.096846629
2.603483,0.186363516
2.671591,0.299308875
2.742697,0.407085703
2.81504,0.489203812
2.882335,0.535981314
2.950872,0.550201611
3.021449,0.538776328
3.089183,0.516835269
3.154448,0.495975984
3.221331,0.481065166
3.289102,0.470468754
3.35611,0.462009649
3.426084,0.462072804
3.493938,0.470135314
3.566112,0.479781245
3.647468,0.483759036
3.720362,0.478499596
3.791201,0.448175841
3.865854,0.390216808
3.938971,0.317479741
4.010942,0.243482599
4.080546,0.173324658
4.150046,0.117921511
4.220677,0.08079208
4.294359,0.055497858
4.367407,0.036270818
4.441496,0.021546968
4.510306,0.0166974
4.582979,0.033084455
4.655274,0.077616448
4.724893,0.151915863
4.793787,0.252177644
4.862225,0.36197763
4.937853,0.455080668
5.011129,0.517083765
5.084946,0.543175218
5.159904,0.540988337
5.233301,0.520649603
5.308321,0.49607541
5.38334,0.475815624
5.460202,0.463092429
5.536925,0.453054581
5.612285,0.453133253
5.683727,0.462795898
5.756654,0.474041965
5.832632,0.479614017
5.904208,0.476496932
5.978172,0.4467069
6.055163,0.389250207
6.124096,0.317509658
6.193958,0.244475627
6.263614,0.176741921
6.337557,0.125282837
6.403027,0.091595862
6.467993,0.069243579
6.540185,0.052461168
6.607241,0.038689805
6.675222,0.028868736
6.743577,0.03665248
6.812776,0.072099661
6.890136,0.136832726
6.962127,0.226563992
7.035442,0.33474496
